,City,Profile_Type,Time_Hour,Temp_C,Humidity_Pct,Distance_m,Circuit,Circuit_0,Circuit_1,Circuit_2,Distance_x_Temp,Distance_x_Humidity,Temp_x_Humidity,City_x_Profile,Distance_squared,Distance_inverse,Environmental_Factor,Time_Period_3
City,1.0,0.1071761416589003,0.9739384803862703,0.11356617311379312,0.35919541995411247,0.14796118949117384,0.8986922721577177,0.5837598463125588,0.5214642712695668,1.0,0.12494695607582382,0.2410794123930231,0.5752254130200152,0.6916995560661209,0.15292640792544435,0.14172784484576778,0.5715321692808697,1.0
Profile_Type,0.1071761416589003,1.0,0.25136775212483714,0.26435311210142615,0.2542469705754487,0.6673256176024106,0.10601632974637323,0.08051859949138743,0.037020790049563594,0.10717614165890031,0.6671100606388931,0.6528254176922019,0.22539608071032213,0.5421428952950679,0.5621939394270838,0.13894061156242132,0.226535283885022,0.10717614165890028
Time_Hour,0.9739384803862703,0.25136775212483714,1.0,0.09457741913069441,0.5380475234227112,0.2482114373978275,0.8752709858801724,0.5685461776281765,0.5078741199360159,0.9739384803862702,0.22068790552476675,0.35211600150431893,0.7224058047496246,0.8374733687994723,0.24333234353636063,0.1459431577997002,0.7194362542331992,0.9739384803862702
Temp_C,0.11356617311379312,0.26435311210142615,0.09457741913069441,1.0,0.8853162946062412,0.20557040264116425,0.10734412429275349,0.07607574513314286,0.04894227016690502,0.11356617311379319,0.17862794021615572,0.2815980106194477,0.744711805365703,0.5747652965286224,0.20869908560397424,0.039655139581236606,0.7477741650025027,0.11356617311379316
Humidity_Pct,0.35919541995411247,0.2542469705754487,0.5380475234227112,0.8853162946062412,1.0,0.233527057103198,0.31731348771170936,0.19951550534711318,0.1979937516937566,0.35919541995411247,0.19702565616503193,0.350563436051071,0.9696328541906923,0.8477387651237921,0.2438915204322932,0.022553307550597482,0.9707477745857526,0.35919541995411247
Distance_m,0.14796118949117384,0.6673256176024106,0.2482114373978275,0.20557040264116425,0.233527057103198,1.0,0.1300520014708722,0.08096889863710341,0.08283661705943467,0.14796118949117382,0.9989087849991933,0.9864125698026805,0.22673970837746016,0.4338261182091487,0.9629523333850827,0.35228557396489546,0.2273025447623981,0.14796118949117384
Circuit,0.8986922721577177,0.10601632974637323,0.8752709858801724,0.10734412429275349,0.31731348771170936,0.1300520014708722,1.0,0.8807149328063403,0.09440759727475694,0.8986922721577179,0.10933252076984998,0.21401756849822037,0.5118400877379897,0.6216250456915471,0.1339453543318827,0.11409695327769158,0.5085166026382523,0.8986922721577177
Circuit_0,0.5837598463125588,0.08051859949138743,0.5685461776281765,0.07607574513314286,0.19951550534711318,0.08096889863710341,0.8807149328063403,1.0,0.388385048468658,0.583759846312559,0.06746604793175252,0.13584767135522466,0.32633253563010606,0.4037864265436243,0.08281430188451888,0.058163647801811415,0.3241684310214506,0.5837598463125588
Circuit_1,0.5214642712695668,0.037020790049563594,0.5078741199360159,0.04894227016690502,0.1979937516937566,0.08283661705943467,0.09440759727475694,0.388385048468658,1.0,0.5214642712695668,0.07090704812297864,0.13084786472188298,0.30990225632297164,0.3606966049415031,0.08653252088869726,0.09972866337660748,0.3079849132603765,0.521464271269567
Circuit_2,1.0,0.10717614165890031,0.9739384803862702,0.11356617311379319,0.35919541995411247,0.14796118949117382,0.8986922721577179,0.583759846312559,0.5214642712695668,1.0,0.12494695607582382,0.2410794123930231,0.5752254130200152,0.6916995560661209,0.15292640792544435,0.14172784484576778,0.5715321692808697,1.0
Distance_x_Temp,0.12494695607582382,0.6671100606388931,0.22068790552476675,0.17862794021615572,0.19702565616503193,0.9989087849991933,0.10933252076984998,0.06746604793175252,0.07090704812297864,0.12494695607582382,1.0,0.9777448416228097,0.1885167006128592,0.40163952299940714,0.9590589750189297,0.35523757064554334,0.18909458407680246,0.1249469560758238
Distance_x_Humidity,0.2410794123930231,0.6528254176922019,0.35211600150431893,0.2815980106194477,0.350563436051071,0.9864125698026805,0.21401756849822037,0.13584767135522466,0.13084786472188298,0.2410794123930231,0.9777448416228097,1.0,0.3547516593458734,0.5403074687764076,0.9600199340524189,0.33846721038961636,0.3551599496032496,0.2410794123930231
Temp_x_Humidity,0.5752254130200152,0.22539608071032213,0.7224058047496246,0.744711805365703,0.9696328541906923,0.22673970837746016,0.5118400877379897,0.32633253563010606,0.30990225632297164,0.5752254130200152,0.1885167006128592,0.3547516593458734,1.0,0.9142483172574496,0.2400250045844239,0.053152741507998695,0.9999892952395614,0.5752254130200152
